username, created_at, lng, lat, text
mitchellcook13, Fri Jan 22 23:53:43 +0000 2021, -82.985772, 39.994684, @robdyrdek Legends 
justx4xfunx, Fri Jan 22 23:53:43 +0000 2021, -106.417430, 31.793368, 🥰🥰🥰 I need some love #gay #twink #gayboy https://t.co/tzLSMl99Eb 
PaulBanecks, Fri Jan 22 23:53:43 +0000 2021, -105.072231, 39.947249, @CharlesPHerring @OANN Ok by chyna mitch 
philisophian1, Fri Jan 22 23:53:43 +0000 2021, -75.117998, 40.004866, @W4RSAME @Leachim47 @stephenasmith It’s funny because you fail to see why I’m comparing kyrie’s unprofessionalism t… https://t.co/Y6ViqqI6s4 
YoungChiefCapo1, Fri Jan 22 23:53:43 +0000 2021, -119.317791, 36.624142, "V$V Rambo Boyz" merch dropping afterall❗🦍🖤🌪 #Orangecovebizz #cincocinconueve 📲📲tap in 
kweenshayla, Fri Jan 22 23:53:43 +0000 2021, -84.433106, 33.767195, I’m so serious. Don’t just randomly FaceTime me like that 😒 
kwilliams44, Fri Jan 22 23:53:43 +0000 2021, -77.427536, 43.000058, @PrimetimeBall_ @Abakergreen @PFBPanthers @smittyMD20 @CoachLian8 @VictorFootballB @BataviaDNSports .… https://t.co/ICz17YCU36 
_xoxosuave, Fri Jan 22 23:53:43 +0000 2021, -80.149173, 26.150368, it sucks ass but that’s life 😭 
WoodyChandler, Fri Jan 22 23:53:43 +0000 2021, -76.311600, 40.047600, IPNA FOURTH badge appears?!? I'm in! - Drinking an IPNA by @lagunitasbeer @ Chez  Woody  — https://t.co/McyJ4kF54j 
arkfredo_roga, Fri Jan 22 23:53:43 +0000 2021, -107.418726, 24.825138, Pues mariscos los Olivos será!.. 😎 
Saucepapitho_, Fri Jan 22 23:53:43 +0000 2021, -95.446486, 29.838495, Ion believe in signs , I believe you are who you are and it ain’t no study that can define me straight up ! 
49ersCryssy, Fri Jan 22 23:53:43 +0000 2021, -123.123581, 49.257639, i’m eating gummies &amp; enhancing my madden 2021 skills by playing the training mode. watch tf out. 
_matthewanthony, Fri Jan 22 23:53:43 +0000 2021, -118.411907, 34.020789, @DJSILVAOFFICIAL @wenzdaymusic @FutureFactoryHQ @dash_radio @JordanCapozzi_ @feelmybicep @Ekonovah @noisesintl… https://t.co/xzAR4T5rlt 
LicRAFATONA, Fri Jan 22 23:53:43 +0000 2021, -102.558037, 23.625418, @An_AMLO @RanferiDe @Salvado95462163 @eccehomo777 @TeresitaMolin13 @enry001 @FilipoOcadiz @MARTHAZAMORAMAR… https://t.co/kAq0qAbZie 
CM_AD1, Fri Jan 22 23:53:43 +0000 2021, -77.856798, 42.976702, Bernie couldn’t BE more excited! @CalMum_Raiders @CalMumHoops @CalMumHS @SecVAthletics https://t.co/mZYv6UKIb7 
